Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CHAMPION,PLAYOFFS
1,2024 Las Vegas Aces,40,200.6,30.9,68.1,0.454,9.4,26.5,0.355,21.5,41.7,0.516,15.2,18.3,0.828,5.6,28.5,34.1,20.5,7.1,5,10.8,16.5,86.4,0
2,2024 New York Liberty,40,200,30.8,68.7,0.448,10.1,29,0.349,20.6,39.7,0.52,14,17.2,0.814,8.5,28.1,36.6,22.8,7.9,4.5,12.7,15.4,85.6,1
3,2024 Indiana Fever,40,200.6,31.3,68.5,0.456,9.2,25.9,0.356,22.1,42.7,0.517,13.3,17.1,0.775,8.3,26.8,35.1,20.4,5.9,4.3,14.2,18.2,85,0
4,2024 Dallas Wings,40,201.9,31.7,71,0.446,6.3,19.2,0.326,25.4,51.9,0.49,14.7,18.7,0.786,10.5,24.3,34.8,20.4,7.1,4,14.8,18.5,84.2,0
5,2024 Seattle Storm,40,201.2,31.1,71.3,0.435,6.1,21,0.288,25,50.3,0.497,15.1,18,0.84,8.7,26,34.7,20.7,9.3,5.2,12.4,16.5,83.2,0
6,2024 Minnesota Lynx,40,201.9,30.1,67.3,0.448,9.5,25,0.38,20.6,42.3,0.488,12.2,15.5,0.79,7.4,26.8,34.3,23,8.6,4.2,13.4,16.4,82,0
7,2024 Phoenix Mercury,40,201.2,29.1,66.3,0.439,8.5,26.2,0.326,20.6,40.2,0.512,14.7,18.4,0.799,6.7,25.6,32.3,19.9,6.6,4.7,13.3,16.9,81.5,0
8,2024 Connecticut Sun,40,201.2,29.3,65.9,0.444,5.9,18,0.327,23.4,48,0.487,15.7,20.9,0.753,8.4,25.1,33.5,19.9,8.2,3.7,12.1,16.1,80.1,0
9,2024 Washington Mystics,40,201.2,29,67,0.433,9.7,26.6,0.366,19.3,40.4,0.477,11.5,15,0.767,7.1,24.8,31.9,21.6,7.3,3.4,15.1,18.4,79.3,0
10,2024 Los Angeles Sparks,40,200.6,28.1,66.4,0.423,7.2,22.6,0.32,20.9,43.8,0.476,15,19.6,0.765,7.4,25.3,32.7,19.7,7.3,3.2,15,17.9,78.4,0
11,2024 Chicago Sky,40,200,29.7,70.3,0.422,4.8,14.9,0.323,24.9,55.4,0.449,13.2,17.8,0.742,10.9,25.8,36.6,19,7,3.8,13.1,19,77.4,0
12,2024 Atlanta Dream,40,201.9,27.8,68.1,0.408,6,19.4,0.308,21.8,48.7,0.448,15.4,20,0.771,9.2,26.9,36.1,18.4,7.2,3.7,12.5,16.9,77,0
1,2023 Las Vegas Aces,40,200,33.6,69.2,0.486,9.3,24.9,0.372,24.3,44.3,0.549,16.4,19.5,0.84,6.2,28.7,34.8,21.7,8,4.8,11.1,16,92.8,1
2,2023 New York Liberty,40,201.9,32.2,69.9,0.46,11.1,29.7,0.374,21.1,40.3,0.523,13.8,16.7,0.829,8.7,29.2,37.9,24.1,6.7,4.5,13.5,16,89.2,0
3,2023  Dallas Wings,40,200.6,32.4,73.2,0.443,6.8,21.3,0.317,25.6,51.8,0.494,16.4,20.3,0.806,11.8,26.9,38.7,20.3,7.6,4.3,13.1,18.9,87.9,0
4,2023 Connecticut Sun,40,201.9,30.2,67.8,0.445,7.2,20,0.36,23,47.8,0.481,15.2,19.9,0.766,8.1,25.6,33.6,20.7,8.1,3.8,12.4,18.4,82.7,0
5,2023 Atlanta Dream,40,201.3,29.4,68.7,0.428,6.4,19.2,0.336,23,49.5,0.464,17.3,22,0.788,8,28.1,36.1,18.6,6.3,4.6,13.6,19.3,82.5,0
6,2023 Chicago Sky,40,201.3,30.7,69.6,0.442,8.3,22.2,0.372,22.5,47.4,0.474,12,16,0.752,8.6,24.8,33.3,20.5,6.7,4.5,13.5,17.3,81.7,0
7,2023 Indiana Fever,40,201.9,30.2,68.3,0.442,6.7,19.8,0.34,23.5,48.5,0.484,13.9,17.8,0.783,8.9,25.1,34,18,6.5,3,14.1,19.7,81,0
8,2023 Washington Mystics,40,200.6,28.9,67.5,0.428,7.8,23.1,0.336,21.2,44.4,0.476,15,18.2,0.823,6.6,25.7,32.3,19.2,7.7,3.2,12.2,18.6,80.5,0
9,2023 Minnesota Lynx,40,201.3,29.4,67.5,0.435,6.8,20.8,0.325,22.6,46.7,0.484,14.7,18.4,0.801,8,26.3,34.3,19.4,6.4,2.6,13.4,16.9,80.2,0
10,2023 Los Angeles Sparks,40,200.6,28.4,66.8,0.425,6.5,19.5,0.333,21.9,47.3,0.463,15.6,19.1,0.819,6.7,24.8,31.5,19,8.5,2.9,12.5,16.9,78.9,0
11,2023 Seattle Storm,40,200.6,27.9,67.9,0.41,8.5,24.2,0.352,19.4,43.8,0.442,14.6,18.6,0.786,8.2,26.7,34.9,17.7,7,4.5,14.5,17.9,78.8,0
12,2023 Phoenix Mercury,40,200.6,28.4,63.9,0.444,6.8,20.7,0.328,21.6,43.3,0.5,13,16.2,0.803,6.6,24.3,30.9,19.1,5.7,4.2,14.8,18.8,76.6,0
1,2022 Las Vegas Aces,36,200.7,32.3,70.3,0.46,9.5,26.4,0.361,22.8,43.8,0.52,16.3,19.8,0.823,6.9,28.4,35.4,20.8,7.7,3.9,11.1,15.8,90.4,1
2,2022 Chicago Sky,36,202.1,32.7,67.9,0.481,7.2,20.9,0.345,25.4,46.9,0.542,13.7,16.6,0.823,7.2,27.6,34.8,24.3,7.3,4.3,13.8,16.2,86.3,0
3,2022 Connecticut Sun,36,201.4,31.9,69,0.462,6.4,18,0.354,25.5,50.9,0.5,15.7,19.9,0.789,10.2,26.9,37.1,21.1,8.9,2.7,14.4,17.1,85.8,0
4,2022 Dallas Wings,36,200.7,29.7,68.2,0.435,7.8,22.6,0.343,21.9,45.6,0.48,15.9,20.8,0.764,9.6,24.3,33.8,18.8,7.1,3.7,12.7,18.8,82.9,0
5,2022 Seattle Storm,36,200.7,30.4,68.8,0.442,9.3,25.6,0.361,21.2,43.2,0.49,12.4,15.1,0.825,7.8,25.8,33.6,22.6,8.3,4.2,12.8,15.6,82.5,0
6,2022 Minnesota Lynx,36,201.4,30.2,67.1,0.45,6.8,19.6,0.348,23.4,47.4,0.493,15.2,19.4,0.784,8.9,28,36.9,20.6,6.1,2.8,14.6,16.9,82.4,0
7,2022 Phoenix Mercury,36,202.1,28.6,66.5,0.429,8.8,26.7,0.329,19.8,39.8,0.497,15.2,18.6,0.817,6.8,24.3,31.2,19.2,7.4,4.5,13.3,19.8,81.1,0
8,2022 Washington Mystics,36,202.1,29.3,66.8,0.439,7.6,22.5,0.338,21.7,44.2,0.491,14,17.9,0.784,8,26.9,34.9,20.3,7.6,3.7,12.8,15.9,80.2,0
9,2022 New York Liberty,36,202.1,28.8,66.8,0.431,9.7,27.6,0.351,19.1,39.1,0.488,12.4,15,0.823,7,27.3,34.3,20.7,6.1,4.1,14.6,18.2,79.6,0
10,2022 Los Angeles Sparks,36,200.7,29.8,66.9,0.446,5.4,16.9,0.32,24.4,50,0.489,14.4,18.3,0.786,6.9,23.4,30.4,18.9,8.6,3.9,13.8,18.3,79.4,0
11,2022 Atlanta Dream,36,201.4,28.8,68.4,0.42,7.5,21.4,0.351,21.2,47,0.452,13.5,17.3,0.777,8.6,26.8,35.4,17.6,7.8,3.1,15.2,19.5,78.5,0
12,2022 Indiana Fever,36,201.4,28.4,69.4,0.409,6.8,20.1,0.338,21.6,49.3,0.437,14.4,19.4,0.746,9.8,23.5,33.3,18,7.2,3.6,15.1,20,78,0
1,2021 Las Vegas Aces,32,202.3,33.1,70.2,0.472,5.1,13.5,0.375,28.1,56.7,0.495,17.9,21.9,0.819,7.3,31.3,38.6,20.8,6.8,4.6,11.6,14.2,89.3,0
2,2021 Seattle Storm,32,203.9,31,68.9,0.45,8.6,22.6,0.38,22.4,46.3,0.484,14.2,16.9,0.839,7.2,28.4,35.6,21.3,7.5,4.2,12.3,15.5,84.8,0
3,2021 Chicago Sky,32,203.1,30.8,69.9,0.441,7.3,21.2,0.343,23.5,48.7,0.484,14.3,17,0.845,8.3,26.7,34.9,21.8,7,4.5,13.8,19,83.3,1
4,2021 Minnesota Lynx,32,201.6,30.7,67.1,0.458,6.8,19.8,0.34,23.9,47.2,0.507,14.6,17.4,0.837,7.3,27.7,34.9,20.4,6.8,4.1,14,17.5,82.7,0
5,2021 Phoenix Mercury,32,201.6,29.5,65.7,0.45,7.5,21.8,0.346,22,43.9,0.501,15.5,19.4,0.798,8,28.2,36.2,19.7,4.8,5.2,12.8,16.3,82.1,0
6,2021 Dallas Wings,32,201.6,29.7,70.7,0.42,8.2,23.1,0.354,21.5,47.6,0.451,13.6,16.4,0.829,10,26.1,36.1,17.3,6.8,3.9,12.8,18.4,81.1,0
7,2021 Washington Mystics,32,200.8,28.4,69.2,0.41,9,27.4,0.328,19.4,41.8,0.464,14,17.4,0.808,8.1,25.2,33.3,18.6,6.9,3.1,12.3,17.2,79.8,0
8,2021 Connecticut Sun,32,201.6,29.2,65.6,0.444,7,19.6,0.356,22.2,46.1,0.482,14.4,17.7,0.816,9.7,26.9,36.6,18,7.8,3.6,13.9,17.8,79.7,0
9,2021 Atlanta Dream,32,201.6,30.6,73.5,0.417,6.1,19.8,0.31,24.5,53.7,0.456,11.3,15.7,0.72,9.7,24.4,34.1,17.4,8.9,4.6,11,18.4,78.7,0
10,2021 New York Liberty,32,200.8,28.3,66.1,0.428,10,27.7,0.362,18.2,38.3,0.475,11.9,14.7,0.813,6.2,27.1,33.3,19.2,6.1,3.8,16.2,17.9,78.5,0
11,2021 Indiana Fever,32,200,28.4,68.2,0.417,4.9,17.3,0.284,23.5,50.9,0.461,13.6,17,0.8,9.6,24.8,34.3,16.7,6.3,3.8,13.8,17.8,75.3,0
12,2021 Los Angeles Sparks,32,201.6,27,65.8,0.411,6.8,20.1,0.335,20.3,45.7,0.444,11.9,15.6,0.766,6.1,23.2,29.3,15.4,8.3,4.2,13.2,19.3,72.8,0
1,2020 Las Vegas Aces,22,200,32.7,68.7,0.477,4.2,11.5,0.368,28.5,57.2,0.498,19,23.4,0.815,8.1,29.3,37.4,20.7,7.8,3,12.2,15,88.7,0
2,2020 Seattle Storm,22,200,31.9,67.8,0.47,8.4,21.4,0.394,23.5,46.4,0.505,15.4,18.9,0.817,7.6,26.8,34.4,21.9,10,4,13.2,16.5,87.5,1
3,2020 Chicago Sky,22,200,33.5,68.2,0.491,7.6,21.6,0.351,25.9,46.5,0.557,12.1,14.9,0.817,7.3,26.3,33.6,21.8,7.5,4,14.9,18,86.7,0
4,2020 Phoenix Mercury,22,201.1,30.2,67,0.45,8.4,24.5,0.343,21.8,42.5,0.512,17.4,21,0.825,7.5,26.5,34,20.4,6.8,5.6,14,19.7,86.1,0
5,2020 Los Angeles Sparks,22,202.3,32.2,67,0.481,7.2,18.1,0.398,25,48.8,0.511,13.3,16.8,0.792,6.4,25,31.4,20,9,3,13.9,18.3,84.9,0
6,2020 Minnesota Lynx,22,200,30.6,67,0.456,8.3,21.5,0.385,22.3,45.5,0.49,15,18.3,0.818,9.9,24.5,34.4,19.8,8.4,3,14.2,16.9,84.4,0
7,2020 Dallas Wings,22,202.3,29.5,71,0.415,8.9,27.6,0.323,20.5,43.4,0.474,15.6,19.1,0.815,9,23.7,32.7,15.6,8.2,3.2,11,19.7,83.4,0
8,2020 Indiana Fever,22,200,29.5,66.7,0.441,6.9,20,0.345,22.5,46.7,0.482,15.9,19.4,0.819,9,24.7,33.7,19.2,5.1,3.2,15,17.7,81.7,0
9,2020 Atlanta Dream,22,202.3,31.4,71,0.442,5.9,16.9,0.35,25.5,54.2,0.471,12.2,16.1,0.758,9,25.8,34.9,16.9,6.9,3.3,14.4,18.5,81,0
10,2020 Connecticut Sun,22,201.1,29.7,69.5,0.427,5.9,19,0.311,23.8,50.5,0.47,15.1,20,0.755,10,25.5,35.5,18.3,9.2,3.1,13.3,18.8,80.4,0
11,2020 Washington Mystics,22,202.3,29.6,68.5,0.433,8.3,24.4,0.341,21.3,44.1,0.483,12.4,15,0.825,7.3,24.1,31.5,19.7,7.9,2.1,12.1,17,80,0
12,2020 New York Liberty,22,200,24.5,66,0.372,7.6,27.4,0.277,17,38.6,0.439,15.2,18.5,0.823,8,27.8,35.8,14.9,6.3,4.3,16.8,19.1,71.9,0

